arquivo_local,product_id
cacau-em-po-50.jpg,210
creatina-em-po.jpg,298
cha-de-espinheira-santa.jpg,145
coco-em-flocos-seco.jpg,175
coco-ralado-seco.jpg,174
colageno-em-po-sem-sabor.jpg,302
frutas-desidratadas.jpg,176
sal-de-parrilha.jpg,83
semente-de-girassol-crua.jpg,55
mix-de-castanhas-com-cranberry.jpg,7
noz-moscada-bola.jpg,101
oleo-de-melaleuca.jpg,361
porta-tempero-brinox.jpg,89
pure-omega-3-tg-probiotica.jpg,252
tempero-lemon-peper.jpg,109
castanha-de-caju-quebrada.jpg,11
hortela-desidratada.jpg,141
cha-de-amora-branca.jpg,164
